customer_id,name,age,income,loan_amount,emi_amount,join_date,is_delinquent
0,Allison Hill,29,67450.71,197689.12,3294.82,2024-05-15,1
1,Brian Yang,40,43321.8,136873.11,2281.22,2024-09-17,1
2,Javier Johnson,57,58580.68,148536.35,2475.61,2024-05-13,1
3,Lance Hoffman,23,65888.7,167054.72,2784.25,2024-11-23,1
4,Kimberly Robinson,23,63496.43,194235.41,3237.26,2024-10-04,1
5,Sean Blake,33,53048.73,146793.0,2446.55,2024-04-21,1
6,Gina Moore,49,60333.33,168094.9,2801.58,2024-12-11,1
7,Brandon Davis,24,63331.18,165675.11,2761.25,2025-01-13,1
8,Dennis Williams,30,66255.17,226342.96,3772.38,2024-08-15,1
9,Valerie Gray,41,50990.42,145534.47,2425.57,2024-09-20,1
10,Mark Mcclure,29,71687.89,175595.98,2926.6,2024-07-08,1
11,Michele Williams,23,72338.17,172857.71,2880.96,2024-05-17,1
12,Victoria Wyatt,25,39330.91,111048.53,1850.81,2025-01-20,1
13,Donald Reid,36,63279.57,217737.44,3628.96,2024-07-09,1
14,Henry Santiago,37,58265.28,166023.89,2767.06,2024-11-17,1
15,Maria Lynch,45,63952.29,244354.38,4072.57,2024-04-25,1
16,Danielle Ford,50,39799.83,101875.8,1697.93,2024-06-02,1
17,Margaret Hawkins DDS,56,68731.84,236703.81,3945.06,2025-01-11,1
18,Amy Underwood,49,67140.64,245186.25,4086.44,2024-12-27,1
19,Derek Clark,55,64968.95,226596.92,3776.62,2024-09-26,1
20,Emily Rios,45,56313.78,147269.89,2454.5,2024-07-21,1
21,Maria Thomas,43,74250.08,286847.23,4780.79,2024-04-13,1
22,Justin Baker,58,58919.85,206323.55,3438.73,2024-10-03,1
23,Kevin Cox,35,45993.56,156014.94,2600.25,2024-04-12,1
24,Ann Williams,36,110584.44,280862.87,4681.05,2024-04-01,1
25,Christopher Becker,53,57741.99,145349.36,2422.49,2024-10-07,1
26,James Ferrell,53,38718.74,136338.2,2272.3,2024-09-11,1
27,Juan Dunlap,36,48269.28,155039.55,2583.99,2024-11-09,1
28,Melanie Herrera,53,48161.13,162392.38,2706.54,2024-06-01,1
29,Gina Carter,49,84343.81,287769.82,4796.16,2024-04-20,1
30,Troy Liu,49,73731.03,233312.67,3888.54,2024-05-31,1
31,Pamela Romero,32,53778.53,123724.48,2062.07,2024-03-31,1
32,Elizabeth Fowler,46,48389.36,136463.36,2274.39,2024-10-12,1
33,James Martin,48,49469.2,140303.01,2338.38,2024-12-17,1
34,Tamara George,24,79106.0,225770.4,3762.84,2024-08-26,1
35,Timothy Koch,30,60076.7,173183.49,2886.39,2025-01-06,1
36,Cynthia Allen,45,89176.73,260693.17,4344.89,2024-09-26,1
37,Angelica Tucker,53,57580.71,184374.9,3072.91,2024-03-16,1
38,Kim Martinez,33,28626.0,103965.92,1732.77,2024-11-01,1
39,Joshua Baker,58,59721.74,129192.92,2153.22,2025-01-22,1
40,Tracey Hickman,44,60903.45,257720.32,4295.34,2024-12-08,1
41,Christina Collins,40,67166.31,192799.93,3213.33,2024-11-05,1
42,Jessica Holmes,47,65070.34,259454.03,4324.23,2024-04-05,1
43,Austin Smith,38,77142.34,260429.96,4340.5,2024-09-21,1
44,Daniel Jones,55,47972.58,177115.14,2951.92,2024-10-21,1
45,Austin Johnson,37,68802.86,281763.39,4696.06,2024-06-26,1
46,David Caldwell,27,52598.51,182074.02,3034.57,2024-05-12,1
47,Miranda Khan,57,71845.09,231035.47,3850.59,2024-09-29,1
48,Richard Aguirre,40,60137.17,169420.26,2823.67,2024-05-02,1
49,Matthew Gomez,54,49195.53,140946.82,2349.11,2024-07-27,1
50,Nicholas Nunez,22,66420.19,117241.64,1954.03,2024-10-26,1
51,James Morgan,44,77538.11,266472.0,4441.2,2025-01-18,1
52,Corey Herrera,28,88084.79,281711.63,4695.19,2024-04-13,1
53,Donald Wright,23,75657.91,246888.71,4114.81,2025-02-11,1
54,Robert Chase,30,75007.28,230738.18,3845.64,2024-03-28,1
55,Zachary Huff,37,74472.16,183766.34,3062.77,2024-03-26,1
56,Sarah Martin,32,69264.61,249943.8,4165.73,2024-08-25,1
57,Dr. Steven Martin,46,72809.97,283543.64,4725.73,2024-02-19,1
58,Mrs. Rachel Gibson,56,62622.5,149766.25,2496.1,2024-08-01,1
59,Monica Logan,54,42130.45,140221.8,2337.03,2024-11-02,1
60,Brittney Phillips,41,59927.15,168295.71,2804.93,2024-03-12,1
61,Kimberly Adkins,24,80147.52,211006.47,3516.77,2024-03-12,1
62,John Calhoun,33,72330.9,285591.07,4759.85,2024-09-12,1
63,Tyler Miller,43,94100.18,289215.71,4820.26,2024-05-01,1
64,Barry Hensley,48,73180.1,210773.52,3512.89,2024-07-24,1
65,Steve Sanchez,54,30954.36,79748.38,1329.14,2024-10-06,1
66,Bradley Sandoval,26,56030.15,244296.19,4071.6,2024-09-25,1
67,Taylor Harris,25,59929.56,132719.64,2211.99,2024-11-23,1
68,Derek Anderson,38,60629.7,177727.73,2962.13,2024-10-26,1
69,Eugene Walton,27,59826.25,185180.15,3086.34,2024-03-18,1
70,Marc Hart,52,58138.01,195935.0,3265.58,2024-03-28,1
71,Daniel Baker,44,47298.09,106069.58,1767.83,2025-02-15,1
72,Benjamin Sanchez,39,58331.94,123982.51,2066.38,2024-06-08,1
73,Roy Warner,24,70651.64,215221.81,3587.03,2024-10-13,1
74,Dr. Kendra Contreras,53,46742.14,143819.14,2396.99,2024-09-21,1
75,Matthew Mcmillan,48,42784.2,158079.12,2634.65,2024-04-11,1
76,Steve Newton,54,44617.5,107460.37,1791.01,2024-04-19,1
77,Larry Robbins,50,66279.59,174707.06,2911.78,2024-05-08,1
78,Sarah Wagner,46,49995.85,107695.6,1794.93,2024-05-26,1
79,Sarah Davis,28,49005.73,151803.74,2530.06,2024-08-01,1
80,Amanda Cook,22,81560.34,244978.98,4082.98,2024-04-09,1
81,Deborah Figueroa,35,57520.36,152797.8,2546.63,2024-09-20,1
82,Kristina Rodriguez,49,55270.96,186787.36,3113.12,2025-01-26,1
83,Brittany Johnson,43,36591.64,146372.93,2439.55,2024-07-11,1
84,Brittany Anderson,43,46298.81,128362.68,2139.38,2024-06-17,1
85,Timothy Stanton,27,53782.02,163502.68,2725.04,2024-03-05,1
86,Christine Wright,58,65316.29,134541.35,2242.36,2024-03-29,1
87,Justin Baxter,26,83405.7,255578.04,4259.63,2024-10-17,1
88,Tammy Young,53,78155.98,228557.94,3809.3,2024-04-22,1
89,Rita Keith,37,95835.54,375838.9,6263.98,2024-02-28,1
90,Tim Patton,51,60227.15,193993.88,3233.23,2024-07-27,1
91,Sharon Cochran,40,58392.08,160980.62,2683.01,2024-06-01,1
92,Michael Reyes,58,48112.19,141576.46,2359.61,2024-03-05,1
93,Courtney Velasquez,22,86719.37,230785.58,3846.43,2024-08-15,1
94,Robert Savage,55,54986.29,156220.26,2603.67,2024-05-15,1
95,Corey Murphy,46,55209.67,159980.61,2666.34,2025-01-19,1
96,Raymond Bell,37,41086.74,142116.2,2368.6,2024-09-03,1
97,William Herrera,26,92019.62,286496.13,4774.94,2025-02-17,1
98,Shawn Green,33,40097.52,157256.78,2620.95,2024-10-01,1
99,Deborah Rodriguez,43,42246.4,131575.79,2192.93,2024-08-05,1
100,Richard Graham,33,66657.29,225789.37,3763.16,2024-09-04,1
101,Steven Lee,51,51761.21,183669.38,3061.16,2024-03-07,1
102,April Frost,26,53699.29,164835.45,2747.26,2024-09-15,1
103,Teresa Mclaughlin,31,55134.07,179864.12,2997.74,2024-05-05,1
104,Benjamin Beck,22,60877.63,254103.13,4235.05,2024-06-26,1
105,Mary Martinez,37,89003.14,285427.5,4757.12,2025-02-02,1
106,Eric Ortiz,49,62985.9,170055.1,2834.25,2024-07-24,1
107,Kristen Lee,45,69707.44,213517.19,3558.62,2024-11-03,1
108,Megan Orr,54,71236.59,278141.73,4635.7,2024-10-15,1
109,Jennifer Bass,58,91995.5,186194.85,3103.25,2024-06-16,1
110,Jeffrey Carpenter,31,77055.26,248383.4,4139.72,2024-10-30,1
111,Jeremy Lowe,33,49965.38,128209.06,2136.82,2024-09-04,1
112,Steven Flynn,38,64214.88,172651.35,2877.52,2024-04-24,1
113,Diane Beck,31,42667.26,161497.94,2691.63,2024-10-16,1
114,Robert Potter,32,50666.44,142993.65,2383.23,2024-11-06,1
115,Robert Hernandez,42,65430.21,215308.38,3588.47,2024-03-07,1
116,John Atkinson,58,60761.16,197309.71,3288.5,2024-03-18,1
117,Stephen Johnston,56,71209.4,235360.25,3922.67,2024-11-23,1
118,Kathleen Sanchez,53,33184.93,79302.52,1321.71,2024-10-30,1
119,Stephanie Dalton,58,68206.46,197723.96,3295.4,2025-01-27,1
120,Jeffery Thompson,44,71467.17,174695.64,2911.59,2024-11-15,1
121,Amber Wright,38,53881.27,168692.1,2811.54,2025-01-13,1
122,Casey Marshall,46,55110.4,254995.41,4249.92,2024-09-12,1
123,Linda Dodson DVM,57,70229.29,199792.96,3329.88,2024-10-13,1
124,Stephanie Simmons,35,55934.39,150656.63,2510.94,2025-02-05,1
125,Stephanie Manning,37,56996.93,228692.23,3811.54,2024-08-21,1
126,Paul Larsen,46,33119.32,91959.54,1532.66,2024-06-05,1
127,Kelly Sims,44,38390.21,120340.21,2005.67,2024-06-04,1
128,Micheal Young,35,54861.17,171422.35,2857.04,2024-06-28,1
129,Joshua Taylor,44,28649.73,111310.38,1855.17,2024-05-18,1
130,Christian Lewis,33,87205.0,279255.83,4654.26,2024-07-29,1
131,Joshua Perry,38,73334.76,238193.66,3969.89,2024-05-09,1
132,Jean Carrillo,48,53500.45,165953.65,2765.89,2024-11-15,1
133,Spencer Johnston,58,52934.43,164945.01,2749.08,2024-08-22,1
134,Guy Molina,22,66682.6,151310.93,2521.85,2025-01-15,1
135,Sara Medina,28,55239.47,178380.44,2973.01,2024-11-30,1
136,Lindsey Walker,48,49223.34,142416.73,2373.61,2024-05-14,1
137,John Price,24,48124.2,116172.38,1936.21,2024-11-04,1
138,Jennifer Martin,41,51386.98,115826.91,1930.45,2024-08-18,1
139,Veronica Ferguson,34,79067.07,267676.15,4461.27,2025-02-05,1
140,Justin Johnson,46,51903.82,118860.74,1981.01,2024-10-25,1
141,Sean White,27,54851.98,177108.17,2951.8,2024-05-30,1
142,Daniel Murphy,37,31548.79,104096.7,1734.94,2024-12-10,1
143,Diana Bean,58,63361.39,190483.11,3174.72,2024-07-31,1
144,Bradley Smith,39,72653.61,179224.78,2987.08,2024-09-15,1
145,Trevor Walker,36,52921.84,144048.46,2400.81,2024-03-16,1
146,Marissa Webster,24,92297.74,241481.0,4024.68,2024-05-25,1
147,Alex Hernandez,49,58336.02,203485.05,3391.42,2024-04-08,1
148,Brian Gould,57,45191.56,124476.46,2074.61,2024-08-17,1
149,Pamela Jackson,49,28141.56,77026.9,1283.78,2024-10-11,1
150,Michelle Strickland,41,31309.4,99602.66,1660.04,2024-04-22,1
151,Ashley Johnson,34,37281.38,124513.47,2075.22,2024-06-19,1
152,Susan Brooks,51,40196.5,157398.62,2623.31,2024-11-22,1
153,Kevin Rivas,22,58895.83,168376.66,2806.28,2024-05-23,1
154,Raymond Jefferson,32,65109.23,194879.15,3247.99,2024-10-09,1
155,Rebecca Knight,43,34302.98,126129.87,2102.16,2024-03-05,1
156,Jeffrey Wood,54,63880.0,231006.5,3850.11,2024-09-02,1
157,Alexandria Fisher,22,23216.03,59185.86,986.43,2024-08-27,1
158,Tyler Reid,26,65136.85,257666.06,4294.43,2025-01-05,1
159,Christian Thompson,58,60078.66,181647.25,3027.45,2024-09-08,1
160,Debra Morton,40,73862.29,251606.59,4193.44,2024-09-15,1
161,Julie Petersen,22,55304.64,121694.45,2028.24,2024-10-06,1
162,Samuel Rivas,22,61804.43,201310.59,3355.18,2024-03-23,1
163,Jerry Christensen,49,75906.7,286220.29,4770.34,2024-09-27,1
